date,country,curr,sexnum,,,,,,,
4/24/2014,USA,USD,69,,,,,,,
4/25/2014,USA,USD,69,,,,,,,
4/26/2014,USA,USD,69,,,,,,,
4/27/2014,Egypt,EGP,484,,,,,,,
4/28/2014,Egypt,EGP,484,,,,,,,
4/29/2014,Egypt,EGP,484,,,,,,,
4/30/2014,Egypt,EGP,484,,,,,,,
5/1/2014,Egypt,EGP,484,,,,,,,
5/2/2014,Egypt,EGP,484,,,,,,,
5/3/2014,Egypt,EGP,484,,,,,,,
5/4/2014,Egypt,EGP,484,,,,,,,
5/5/2014,Egypt,EGP,484,,,,,,,
5/6/2014,Sudan,SDG,393,,,,,,,
5/7/2014,Sudan,SDG,393,,,,,,,
5/8/2014,Sudan,SDG,393,,,,,,,
5/9/2014,Sudan,SDG,393,,,,,,,
5/10/2014,Sudan,SDG,393,,,,,,,
5/11/2014,Sudan,SDG,393,,,,,,,
5/12/2014,Sudan,SDG,393,,,,,,,
5/13/2014,Sudan,SDG,393,,,,,,,
5/14/2014,Sudan,SDG,393,,,,,,,
5/15/2014,Eritrea,ERN,1027,,,,,,,
5/16/2014,Eritrea,ERN,1027,,,,,,,
5/17/2014,Eritrea,ERN,1027,,,,,,,
5/18/2014,Eritrea,ERN,1027,,,,,,,
5/19/2014,Eritrea,ERN,1027,,,,,,,
5/20/2014,South Sudan,SDG,393,,,,,,,
5/21/2014,South Sudan,SDG,393,,,,,,,
5/22/2014,South Sudan,SDG,393,,,,,,,
5/23/2014,South Sudan,SDG,393,,,,,,,
5/24/2014,Uganda,UGX,173535,,,,,,,
5/25/2014,Uganda,UGX,173535,,,,,,,
5/26/2014,Uganda,UGX,173535,,,,,,,
5/27/2014,Uganda,UGX,173535,,,,,,,
5/28/2014,Uganda,UGX,173535,,,,,,,
5/29/2014,Uganda,UGX,173535,,,,,,,
5/30/2014,Uganda,UGX,173535,,,,,,,
5/31/2014,Uganda,UGX,173535,,,,,,,
6/1/2014,Cameroon,XAF,32540,,,,,,,
6/2/2014,Cameroon,XAF,32540,,,,,,,
6/3/2014,Cameroon,XAF,32540,,,,,,,
6/4/2014,Cameroon,XAF,32540,,,,,,,
6/5/2014,Cameroon,XAF,32540,,,,,,,
6/6/2014,Cameroon,XAF,32540,,,,,,,
6/7/2014,Cameroon,XAF,32540,,,,,,,
6/8/2014,Cameroon,XAF,32540,,,,,,,
6/9/2014,Cameroon,XAF,32540,,,,,,,
6/10/2014,Cameroon,XAF,32540,,,,,,,
6/11/2014,Cameroon,XAF,32540,,,,,,,
6/12/2014,São Tomé,STD,1213710,,,,,,,
6/13/2014,São Tomé,STD,1213710,,,,,,,
6/14/2014,São Tomé,STD,1213710,,,,,,,
6/15/2014,São Tomé,STD,1213710,,,,,,,
6/16/2014,São Tomé,STD,1213710,,,,,,,
6/17/2014,São Tomé,STD,1213710,,,,,,,
6/18/2014,São Tomé,STD,1213710,,,,,,,
6/19/2014,South Arica,ZAR,724,,,,,,,
6/20/2014,Uganda,UGX,173535,,,,,,,
6/21/2014,Uganda,UGX,173535,,,,,,,
6/22/2014,Rwanda,RWF,46955,,,,,,,
6/23/2014,Rwanda,RWF,46955,,,,,,,
6/24/2014,Rwanda,RWF,46955,,,,,,,
6/25/2014,Rwanda,RWF,46955,,,,,,,
6/26/2014,Rwanda,RWF,46955,,,,,,,
6/27/2014,Rwanda,RWF,46955,,,,,,,
6/28/2014,Rwanda,RWF,46955,,,,,,,
6/29/2014,Rwanda,RWF,46955,,,,,,,
6/30/2014,Rwanda,RWF,46955,,,,,,,
7/1/2014,Tanzania,TZS,113402,,,,,,,
7/2/2014,Tanzania,TZS,113402,,,,,,,
7/3/2014,Tanzania,TZS,113402,,,,,,,
7/4/2014,Tanzania,TZS,113402,,,,,,,
7/5/2014,Tanzania,TZS,113402,,,,,,,
7/6/2014,Tanzania,TZS,113402,,,,,,,
7/7/2014,Tanzania,TZS,113402,,,,,,,
7/8/2014,Tanzania,TZS,113402,,,,,,,
7/9/2014,Tanzania,TZS,113402,,,,,,,
7/10/2014,Tanzania,TZS,113402,,,,,,,
7/11/2014,Malawi,MWK,27255,,,,,,,
7/12/2014,Malawi,MWK,27255,,,,,,,
7/13/2014,Malawi,MWK,27255,,,,,,,
7/14/2014,Malawi,MWK,27255,,,,,,,
7/15/2014,Malawi,MWK,27255,,,,,,,
7/16/2014,Malawi,MWK,27255,,,,,,,
7/17/2014,Zambia,ZMW,358076,,,,,,,
7/18/2014,Zambia,ZMW,358076,,,,,,,
7/19/2014,Zambia,ZMW,358076,,,,,,,
7/20/2014,Zambia,ZMW,358076,,,,,,,
7/21/2014,Zambia,ZMW,358076,,,,,,,
7/22/2014,Zambia,ZMW,358076,,,,,,,
7/23/2014,Zambia,ZMW,358076,,,,,,,
7/24/2014,Zambia,ZMW,358076,,,,,,,
7/25/2014,Zambia,ZMW,358076,,,,,,,
7/26/2014,Zambia,ZMW,358076,,,,,,,
7/27/2014,Zambia,ZMW,358076,,,,,,,
7/28/2014,Zambia,ZMW,358076,,,,,,,
7/29/2014,Zambia,ZMW,358076,,,,,,,
7/30/2014,Zambia,ZMW,358076,,,,,,,
7/31/2014,Zambia,ZMW,358076,,,,,,,
8/1/2014,Zambia,ZMW,358076,,,,,,,
8/2/2014,Zambia,ZMW,358076,,,,,,,
8/3/2014,Zambia,ZMW,358076,,,,,,,
8/4/2014,Zambia,ZMW,358076,,,,,,,
8/5/2014,Zambia,ZMW,358076,,,,,,,
8/6/2014,Zambia,ZMW,358076,,,,,,,
8/7/2014,Zambia,ZMW,358076,,,,,,,
8/8/2014,Zambia,ZMW,358076,,,,,,,
8/9/2014,Zambia,ZMW,358076,,,,,,,
8/10/2014,Zambia,ZMW,358076,,,,,,,
8/11/2014,Zambia,ZMW,358076,,,,,,,
8/12/2014,Zambia,ZMW,358076,,,,,,,
8/13/2014,Zambia,ZMW,358076,,,,,,,
8/14/2014,Zambia,ZMW,358076,,,,,,,
8/15/2014,Zambia,ZMW,358076,,,,,,,
8/16/2014,Zambia,ZMW,358076,,,,,,,
8/17/2014,Zambia,ZMW,358076,,,,,,,
8/18/2014,Zambia,ZMW,358076,,,,,,,
8/19/2014,Zambia,ZMW,358076,,,,,,,
8/20/2014,Zambia,ZMW,358076,,,,,,,
8/21/2014,Zambia,ZMW,358076,,,,,,,
8/22/2014,Zambia,ZMW,358076,,,,,,,
8/23/2014,Zambia,ZMW,358076,,,,,,,
8/24/2014,Zambia,ZMW,358076,,,,,,,
8/25/2014,Zambia,ZMW,358076,,,,,,,
